iteration;max_coeff;min_coeff;constant;LB;UB;med1;med2;med3;med4;med5
90;-46.0;-195.16;1163.85;727.68;752.4;24;36;38;46;48
91;-35.36;-211.08;1141.85;727.68;794.91;3;28;38;39;48
92;-44.95;-180.77;1125.58;728.68;755.91;20;24;38;41;48
93;-36.76;-209.42;1161.53;728.74;806.4;21;24;25;39;48
94;-19.69;-218.4;1320.86;728.79;954.46;17;23;24;35;47
95;-7.77;-299.23;1213.12;730.68;829.15;15;25;33;35;36
96;-8.0;-282.96;1220.6;731.23;826.65;15;20;33;35;38
97;-46.0;-204.38;1263.38;731.67;766.69;15;38;39;45;48
98;-4.58;-449.9;1227.43;731.68;864.23;11;24;33;38;40
99;-27.95;-221.63;1304.58;732.67;816.84;17;28;35;38;45
100;-9.81;-234.56;1258.62;732.94;918.75;3;20;33;38;49
101;-9.37;-230.26;1237.81;732.94;814.18;7;11;24;25;47
102;-30.47;-157.0;1249.7;733.38;772.64;15;20;26;27;46
103;-8.95;-190.0;1191.52;733.94;768.68;15;36;38;47;48
104;-26.95;-643.91;1312.01;734.44;983.54;5;13;28;38;48
105;-28.83;-339.7;1226.6;734.82;888.51;5;26;28;29;47
106;-22.26;-645.98;1310.93;735.44;995.35;13;26;28;48;49
107;-19.95;-642.52;1344.68;735.58;985.15;1;13;25;28;48
108;-37.62;-158.94;1243.88;736.33;783.25;26;28;34;39;48
109;-48.0;-165.48;1219.33;736.68;756.53;24;36;38;39;48
110;-48.0;-168.43;1246.54;737.68;771.26;11;24;38;39;48
111;-3.76;-726.88;1453.54;737.69;1114.07;1;28;38;47;48
112;-32.74;-287.62;1282.87;738.33;773.84;26;28;34;41;48
113;-49.52;-237.85;1292.48;738.33;832.3;3;13;25;35;49
114;-30.42;-303.87;1263.45;739.19;880.11;7;21;26;28;47
115;-46.0;-202.63;1330.95;739.38;790.79;12;25;34;48;49
116;-46.0;-154.15;1268.72;739.58;761.44;20;24;27;38;39
117;-25.65;-200.18;1194.42;739.67;810.94;26;28;33;35;45
118;-5.12;-295.31;1159.56;740.33;812.81;28;33;38;45;48
119;-18.22;-210.5;1198.44;740.68;883.56;1;20;34;38;41
120;-26.0;-209.0;1227.0;740.87;801.54;23;26;28;35;41
121;-46.0;-154.0;1205.75;740.89;769.89;12;15;25;27;36
122;-30.37;-162.63;1249.55;741.0;800.61;15;26;31;45;48
123;-45.0;-166.65;1295.93;741.33;779.34;28;34;38;46;48
124;-12.81;-322.34;1195.87;741.33;815.48;25;28;33;45;48
125;-41.0;-198.24;1250.39;741.33;827.64;3;10;25;35;49
126;-32.47;-192.44;1208.9;741.67;803.39;26;28;29;35;41
127;-44.38;-185.23;1221.15;741.83;794.15;15;25;30;36;41
128;-33.21;-228.32;1251.84;742.33;802.32;28;29;38;41;48
