iteration;max_coeff;min_coeff;constant;LB;UB;med1;med2;med3;med4;med5
90;-19.18;-326.41;1188.57;743.0;844.33;24;29;33;35;38
91;-19.18;-333.14;1192.32;744.0;847.11;24;25;29;33;35
92;-75.44;-161.0;1329.11;719.83;779.44;3;13;27;28;38
93;-47.89;-151.05;1270.69;759.51;778.1;11;26;28;35;46
94;-45.61;-174.51;1263.87;731.0;767.84;15;23;38;39;48
95;-15.26;-345.83;1221.4;727.58;823.84;24;36;38;40;47
96;-64.0;-150.0;1281.94;753.08;783.25;26;28;34;39;48
97;-63.5;-187.47;1321.59;769.95;852.24;3;34;39;43;48
98;-36.16;-202.05;1285.11;781.13;884.16;10;21;28;39;48
99;-39.23;-146.0;1263.6;737.54;761.07;20;27;28;38;46
100;-10.63;-166.05;1262.0;729.67;790.68;7;23;24;38;46
101;-17.5;-228.79;1220.32;759.0;812.05;24;26;33;34;35
102;-19.58;-225.84;1205.74;728.63;788.09;28;34;35;38;47
103;-59.15;-136.0;1277.1;758.05;760.44;20;27;28;38;39
104;-10.28;-249.43;1209.69;758.0;816.74;24;26;33;35;45
105;-19.58;-228.84;1199.74;724.0;790.4;28;35;38;45;47
106;-19.58;-232.31;1213.2;731.63;790.4;25;28;34;35;47
107;-19.0;-210.0;1180.0;727.99;765.31;25;28;35;36;41
108;-19.0;-197.0;1230.38;718.0;790.08;11;24;35;38;41
109;-9.54;-297.55;1211.96;758.33;814.85;28;33;34;35;38
110;-19.58;-225.26;1177.32;738.0;789.96;24;26;34;35;47
111;-12.18;-325.9;1208.86;759.33;818.38;25;28;33;34;35
112;-19.58;-240.59;1164.43;724.88;812.46;15;25;35;45;47
113;-17.94;-187.87;1190.33;745.33;803.39;26;28;29;35;41
114;-7.46;-354.32;1169.2;755.22;820.12;24;33;35;38;45
115;-14.96;-361.18;1182.86;756.22;822.2;24;25;33;35;45
116;-27.5;-257.54;1202.01;741.41;814.35;21;28;35;38;46
117;-3.74;-202.89;1219.05;789.33;910.05;12;15;35;38;39
118;-1.68;-250.04;1170.22;756.33;810.37;25;28;29;35;41
119;-11.64;-195.58;1166.68;738.0;790.44;26;28;35;45;47
120;-31.58;-164.59;1221.84;754.79;769.74;15;26;45;46;48
121;-17.81;-414.17;1127.34;798.5;876.38;15;16;26;36;40
122;-51.0;-226.33;1250.33;754.58;833.67;23;24;29;35;38
123;-45.79;-203.0;1250.79;759.08;784.26;10;20;28;38;48
124;-22.68;-236.29;1179.98;743.5;811.3;5;7;36;38;46
125;-19.5;-265.08;1215.0;787.42;836.25;15;16;25;35;36
